Mitocheck_Phenotypic_Class,Metadata_is_control,Cell_UUID,Location_Center_X,Location_Center_Y,Metadata_Plate,Metadata_Well,Metadata_Frame,Metadata_Site,Metadata_Plate_Map_Name,Metadata_DNA,Metadata_Gene,Metadata_Gene_Replicate,average_precision,p_value,n_pos_pairs,n_total_pairs,shuffled
neg_control,1,75329ec8-0ada-4263-83a3-a1816180c7c1,1233,286,LT0122_51,315,56,1,LT0122_51_315,LT0122_51/LT0122_51_315_56.tif,negative control,1,1.0,1.0,6911,6911,True
neg_control,1,77a65af2-f007-4fde-9b4c-861a4a76681d,1192,227,LT0095_13,26,34,1,LT0095_13_26,LT0095_13/LT0095_13_26_34.tif,negative control,1,0.9999838374350493,0.0990099,6676,6677,True
neg_control,1,f69f8748-d49f-4e77-958d-de77926e9d6e,311,994,LT0017_19,15,48,1,LT0017_19_15,LT0017_19/LT0017_19_15_48.tif,negative control,1,1.0,1.0,6668,6668,True
neg_control,1,56bcf80b-98dd-4ffc-808f-0c9088c7c780,43,434,LT0114_59,352,35,1,LT0114_59_352,LT0114_59/LT0114_59_352_35.tif,negative control,1,0.9997004822652068,0.6138614,6877,6879,True
neg_control,1,f22d68f3-2e99-45d2-be63-25ca8a9b5539,67,572,LT0143_02,304,61,1,LT0143_02_304,LT0143_02/LT0143_02_304_61.tif,negative control,1,1.0,1.0,7044,7044,True
neg_control,1,f3ce87f8-e6a4-423f-9a42-0f4a138877fe,1218,576,LT0002_02,63,45,1,LT0002_02_63,LT0002_02/LT0002_02_63_45.tif,negative control,1,0.9997714932314354,0.83168316,6762,6763,True
neg_control,1,cda5ce98-b5ef-4df8-a7a9-48813be35ccd,1046,316,LT0038_01,63,54,1,LT0038_01_63,LT0038_01/LT0038_01_63_54.tif,negative control,1,1.0,1.0,6736,6736,True
neg_control,1,95f26d86-8e71-4271-ac8b-e587b52deca8,373,509,LT0094_44,15,45,1,LT0094_44_15,LT0094_44/LT0094_44_15_45.tif,negative control,1,1.0,1.0,6668,6668,True
neg_control,1,e2352582-4be9-47ba-b86f-96cfaa74f2e6,198,950,LT0147_01,74,36,1,LT0147_01_74,LT0147_01/LT0147_01_74_36.tif,negative control,1,1.0,1.0,6586,6586,True
neg_control,1,83db1bef-8a25-42d5-9f51-f96c300f5660,479,560,LT0094_01,15,35,1,LT0094_01_15,LT0094_01/LT0094_01_15_35.tif,negative control,1,1.0,1.0,6661,6661,True
neg_control,1,6e764969-3b08-4140-bb82-ec0eaeb4cefa,1274,195,LT0089_02,15,36,1,LT0089_02_15,LT0089_02/LT0089_02_15_36.tif,negative control,1,1.0,1.0,6661,6661,True
neg_control,1,cac077d9-87e9-4142-8ed9-bc9d7d721283,978,512,LT0085_38,352,31,1,LT0085_38_352,LT0085_38/LT0085_38_352_31.tif,negative control,1,1.0,1.0,6883,6883,True
neg_control,1,320d9667-aa75-4dae-b5a5-ab3011402732,1062,830,LT0025_56,63,55,1,LT0025_56_63,LT0025_56/LT0025_56_63_55.tif,negative control,1,1.0,1.0,6745,6745,True
